Latitude,Longitude,Depth,Magnitude,Place,Month,Year
43.1112,144.9238,109.107,3.9,Japan,10,2023
24.6484,125.4659,53.573,4.6,Japan,10,2023
35.7292,140.8265,47.581,4.2,Japan,10,2023
40.5816,141.9565,55.502,4.4,Japan,10,2023
42.1138,142.124,10.845,4.4,Japan,10,2023
45.6053,142.2864,310.595,4.1,Japan,10,2023
36.9476,141.1834,36.377,4.5,Japan,10,2023
32.5025,137.8506,347.483,4.3,Japan,10,2023
29.2329,130.5372,39.58,4.4,Japan,10,2023
25.9383,128.4834,10,5,Japan,10,2023
42.1776,140.2388,149.944,4.4,Japan,10,2023
42.8404,144.9303,75.49,4.4,Japan,10,2023
33.8075,141.6608,10,4.4,Japan,10,2023
25.1881,125.5097,16.712,4.6,Japan,10,2023
25.1572,125.5391,10,4.6,Japan,10,2023
25.1128,125.5035,9.536,4.9,Japan,10,2023
25.1582,125.5573,13.261,5.7,Japan,10,2023
33.7721,141.7225,16.306,5.2,Japan,10,2023
27.7019,129.9589,10,4.3,Japan,10,2023
27.4812,127.6098,101.363,4.7,Japan,10,2023
34.3406,136.6522,353.93,4,Japan,10,2023
32.6594,140.8723,57.554,4.8,Japan,10,2023
41.5116,142.055,53.827,4.9,Japan,10,2023
42.6055,143.2183,98.035,4.2,Japan,10,2023
41.074,140.1515,168.306,5.1,Japan,10,2023
37.8615,141.9883,47.791,4.5,Japan,10,2023
37.6104,142.5605,31.7,4.3,Japan,10,2023
28.7792,128.6959,138.54,4.6,Japan,10,2023
40.6585,142.3965,59.957,4.5,Japan,10,2023
37.1528,142.452,30.415,4.4,Japan,10,2023
40.2476,142.4016,51.829,4.1,Japan,10,2023
33.7934,137.5599,331.581,4.3,Japan,10,2023
35.6989,140.3922,64.348,4.1,Japan,10,2023
25.1086,123.6254,4.896,4.2,Japan,10,2023
40.2382,142.2377,56.478,4,Japan,10,2023
40.294,142.2527,52.255,4.3,Japan,10,2023
40.2023,142.3093,53.464,5.1,Japan,10,2023
31.2105,137.5261,10,4.7,Japan,10,2023
25.1326,123.6059,6.218,4.4,Japan,10,2023
37.2095,141.0668,79.039,4.3,Japan,10,2023
40.3821,141.5417,81.539,4.3,Japan,10,2023
32.834,141.7442,10,4.6,Japan,10,2023
36.7431,139.8078,123.868,4.4,Japan,10,2023
38.6724,141.8597,59.662,4.5,Japan,10,2023
25.9872,128.6272,10,4.5,Japan,10,2023
39.5154,143.5344,19.632,4.4,Japan,9,2023
24.4806,127.4395,10,4.2,Japan,9,2023
43.3385,143.9856,10,4.3,Japan,9,2023
40.0644,144.1888,10,4.6,Japan,9,2023
36.8907,140.2425,115.995,4.5,Japan,9,2023
37.4525,137.1593,10,4.4,Japan,9,2023
37.5443,141.4792,65.888,4.5,Japan,9,2023
38.3269,141.2176,75.788,4.5,Japan,9,2023
41.5101,142.0264,63.145,4.4,Japan,9,2023
33.8088,136.9436,367.06,4.4,Japan,9,2023
35.5838,141.0794,49.777,4.4,Japan,9,2023
35.6144,140.6581,55.592,4.4,Japan,9,2023
44.9282,144.3001,246.094,4,Japan,9,2023
43.346,138.9676,218.187,4,Japan,9,2023
40.1177,142.4358,47.829,4.4,Japan,9,2023
40.3436,144.9931,10,4.7,Japan,9,2023
23.972,122.5196,35.079,4.2,Japan,9,2023
44.056,145.3432,165.51,4.3,Japan,9,2023
29.061,129.3101,10,4.3,Japan,9,2023
33.1479,138.3029,296.826,4.1,Japan,9,2023
38.5226,141.6584,51,5.5,Japan,9,2023
28.5597,129.9661,35,4.6,Japan,9,2023
39.5393,143.3217,35,4.2,Japan,9,2023
36.4675,141.1476,47.46,4.4,Japan,9,2023
35.931,140.2719,57.6,4.4,Japan,9,2023
37.1972,141.5158,42.147,4.5,Japan,9,2023
35.7795,140.2583,65.425,4.4,Japan,9,2023
37.0438,141.5366,49.771,4.1,Japan,9,2023
25.1427,127.1445,10,4.2,Japan,9,2023
28.1179,130.2821,10,4.9,Japan,9,2023
28.2126,130.0374,24.857,4.5,Japan,9,2023
35.294,141.3558,35,4.4,Japan,9,2023
37.8296,142.0778,53.666,4.2,Japan,9,2023
24.5313,127.8188,10,4.5,Japan,9,2023
29.2861,129.4905,10,4.9,Japan,9,2023
38.6188,143.0063,42.174,4.1,Japan,9,2023
29.3614,129.2749,11.495,4.4,Japan,9,2023
37.4689,134.5714,390.043,4,Japan,9,2023
31.1037,131.503,43.648,4.6,Japan,9,2023
29.2562,129.4839,10,5.3,Japan,9,2023
29.3174,129.306,10.838,4.8,Japan,9,2023
29.3745,129.1647,10,4.7,Japan,9,2023
29.3465,129.2278,10,4.5,Japan,9,2023
29.3358,129.3672,10,4.7,Japan,9,2023
33.5214,132.0013,78.987,4.6,Japan,9,2023
29.3161,129.6954,10,4.4,Japan,9,2023
29.3746,129.2545,10,4.3,Japan,9,2023
29.3341,129.2823,10,4.9,Japan,9,2023
25.0871,124.7906,75.722,4.7,Japan,9,2023
29.2975,129.45,11.94,4.7,Japan,9,2023
29.2525,129.4082,9.932,4.2,Japan,9,2023
29.1461,129.4354,12.489,4.4,Japan,9,2023
29.2727,129.4376,11.359,5.1,Japan,9,2023
29.1423,129.5972,22.323,5,Japan,9,2023
29.2862,129.3355,10,4.6,Japan,9,2023
29.3228,129.2717,9.985,4.2,Japan,9,2023
25.2465,128.2464,10,4.6,Japan,9,2023
29.254,129.6253,10,4.6,Japan,9,2023
29.3247,129.3425,10,4.1,Japan,9,2023
29.1853,129.7057,10,4.5,Japan,9,2023
38.9143,142.1007,40.452,5.2,Japan,9,2023
29.2788,129.4194,10,4.5,Japan,9,2023
29.3605,129.3563,10,4.4,Japan,9,2023
29.3393,129.2478,10,4.5,Japan,9,2023
29.2873,129.3671,10.08,4.2,Japan,9,2023
29.1912,129.5325,11.548,4.3,Japan,9,2023
37.6407,141.886,43.428,4.7,Japan,9,2023
25.1156,125.6105,37.684,4.5,Japan,9,2023
38.485,144.5248,10,4.2,Japan,9,2023
40.5178,142.6841,10,4.3,Japan,9,2023
36.6929,141.6411,35.683,4.5,Japan,9,2023
23.0443,124.4637,10,4.8,Japan,9,2023
35.6605,140.1635,66.7,4.5,Japan,9,2023
35.7004,140.1358,66.527,4.9,Japan,9,2023
35.4881,140.4773,38.287,4,Japan,9,2023
39.5485,143.0845,35,4.4,Japan,9,2023
37.0131,141.7745,35,4.4,Japan,9,2023
24.75,122.4667,36.935,4.6,Japan,9,2023
37.3801,141.4346,39.432,4.3,Japan,9,2023
41.0942,142.8748,39.108,4.3,Japan,9,2023
43.0476,144.2535,100.014,4.6,Japan,9,2023
36.6922,142.2792,16.771,3.9,Japan,9,2023
39.5546,143.3858,23.3,4.4,Japan,9,2023
39.3607,143.165,30.66,4.1,Japan,9,2023
37.5974,141.873,89.398,4.3,Japan,8,2023
30.3285,131.3573,30.044,4.3,Japan,8,2023
37.7327,141.9207,49.437,4.3,Japan,8,2023
35.7039,140.772,43.162,4.1,Japan,8,2023
25.8229,125.1116,147.354,4.6,Japan,8,2023
37.0609,142.4156,11.671,4.8,Japan,8,2023
36.4491,142.6936,10,5,Japan,8,2023
36.5338,142.6293,10,4.6,Japan,8,2023
24.55,127.7566,10,4.4,Japan,8,2023
43.7631,140.7365,203.773,4.1,Japan,8,2023
35.4363,141.0887,38.813,4.8,Japan,8,2023
33.8925,131.8827,81.482,4.7,Japan,8,2023
36.5371,140.8287,61.701,4.1,Japan,8,2023
39.5215,143.4871,25.33,4.5,Japan,8,2023
39.5518,143.3026,18,5.8,Japan,8,2023
40.2714,141.8407,36.394,4.6,Japan,8,2023
32.2394,139.0123,274.762,4.1,Japan,8,2023
38.2644,141.9755,51.39,4.3,Japan,8,2023
27.3372,129.0715,31.162,4.1,Japan,8,2023
42.674,142.7842,123.429,4.6,Japan,8,2023
35.8696,136.7034,9.783,4.2,Japan,8,2023
39.7461,141.8842,58.29,4.4,Japan,8,2023
38.0175,142.0112,52.104,4.5,Japan,8,2023
39.8033,141.7437,67.012,4.6,Japan,8,2023
37.8288,141.7886,61.803,4.2,Japan,8,2023
24.8191,125.4234,38.993,5,Japan,8,2023
29.3376,130.2883,40.229,4.4,Japan,8,2023
24.3394,122.4335,58.046,4.2,Japan,8,2023
29.3408,130.5714,40.881,4.6,Japan,8,2023
38.6875,142.4385,62.34,4.4,Japan,8,2023
41.2736,142.7097,41.558,4.5,Japan,8,2023
33.0035,137.8245,335.629,4,Japan,8,2023
35.123,140.7293,40.181,4.2,Japan,8,2023
38.0293,141.8426,69.691,4.1,Japan,8,2023
36.0856,142.0975,27.985,4.6,Japan,8,2023
37.2351,142.2874,27.888,4.5,Japan,8,2023
30.6787,131.4285,10,4.5,Japan,8,2023
30.7684,131.4857,10,4.9,Japan,8,2023
30.7578,131.4022,12.851,5.5,Japan,8,2023
34.155,136.7865,352.532,4,Japan,8,2023
36.8097,140.7806,87.79,4.4,Japan,8,2023
38.8375,141.6817,73.992,4.2,Japan,8,2023
40.2773,140.5781,125.232,4.9,Japan,8,2023
36.8986,142.041,58.72,4.5,Japan,8,2023
43.2747,143.4001,136.782,4.4,Japan,7,2023
39.6413,143.3894,17.347,4.8,Japan,7,2023
30.1109,131.0724,22.208,4.5,Japan,7,2023
36.3664,139.9253,84.261,4.6,Japan,7,2023
25.6149,128.8165,10,4.4,Japan,7,2023
41.3901,144.3692,10,4.7,Japan,7,2023
44.3478,140.6645,231.157,4.7,Japan,7,2023
36.4862,132.5615,10.516,4.3,Japan,7,2023
31.969,131.6554,52.77,4.6,Japan,7,2023
38.2284,141.5449,79.607,4.4,Japan,7,2023
35.9355,140.0946,72.258,4.5,Japan,7,2023
32.8459,140.6542,60.948,4.4,Japan,7,2023
36.6195,141.1664,78.64,4.1,Japan,7,2023
32.6728,132.0014,28.785,4.9,Japan,7,2023
36.448,140.5928,61.713,4.8,Japan,7,2023
26.754,130.0809,10,4.5,Japan,7,2023
35.6799,140.7499,49.305,4.4,Japan,7,2023
23.0396,125.3366,10,4.1,Japan,7,2023
37.7918,141.8185,39.459,4.4,Japan,7,2023
43.2399,138.017,260.84,4.2,Japan,7,2023
36.8516,141.0113,66.568,4,Japan,7,2023
27.6151,130.7553,18.235,4.9,Japan,7,2023
42.8215,143.2804,121.423,4.8,Japan,7,2023
34.1252,135.5929,72.208,4.1,Japan,7,2023
23.8941,122.4418,10,4.1,Japan,7,2023
35.1323,135.9396,344.294,4.4,Japan,7,2023
25.1872,123.246,153.965,4.4,Japan,7,2023
40.067,142.7592,35,5,Japan,7,2023
42.9723,145.6665,90.441,4.2,Japan,7,2023
23.9374,122.4446,28.385,4.4,Japan,7,2023
42.7605,141.9293,132.959,4,Japan,7,2023
37.0077,141.084,67.85,4.3,Japan,7,2023
35.6332,140.7123,56.447,4.4,Japan,7,2023
35.6067,140.4101,55.558,4.6,Japan,7,2023
24.2262,123.4016,48.756,4.3,Japan,7,2023
35.0363,140.5855,58.226,4.3,Japan,7,2023
39.0656,142.3122,59.287,4.3,Japan,7,2023
40.4044,142.3071,47.043,4.2,Japan,7,2023
42.3857,142.4809,35,4.6,Japan,7,2023
40.7696,144.8072,10,4.2,Japan,7,2023
40.4993,139.8307,187.509,4,Japan,7,2023
26.7267,129.6335,10,4,Japan,7,2023
35.5011,141.1034,39.302,4.9,Japan,7,2023
24.3561,124.9122,41.434,4.6,Japan,6,2023
36.5965,140.9286,55.121,4.3,Japan,6,2023
36.5555,140.7564,59.21,4.2,Japan,6,2023
24.6938,122.4949,104.422,4.3,Japan,6,2023
39.961,143.7065,10,4.5,Japan,6,2023
35.5006,140.2924,88.942,4.3,Japan,6,2023
35.728,141.4123,35,4.6,Japan,6,2023
40.2185,141.9548,73.074,4.1,Japan,6,2023
38.468,142.1912,55.743,4.1,Japan,6,2023
37.2583,142.0024,39.803,4.7,Japan,6,2023
45.8109,143.1203,314,5.6,Japan,6,2023
34.3023,141.5669,10,4.4,Japan,6,2023
34.3441,141.4584,21.292,4.6,Japan,6,2023
41.5834,142.0686,59.751,4.4,Japan,6,2023
26.3496,127.8415,37.098,5,Japan,6,2023
33.7277,136.0713,410.377,5,Japan,6,2023
39.1237,142.1614,50.378,4.3,Japan,6,2023
31.3435,131.3027,63.297,4.4,Japan,6,2023
35.8745,139.7498,62.608,4.2,Japan,6,2023
31.125,131.551,44.971,4.4,Japan,6,2023
31.1917,131.559,35,4.8,Japan,6,2023
34.4988,143.079,10,4.4,Japan,6,2023
37.1931,137.9395,223.248,4.3,Japan,6,2023
41.3973,142.6033,53.22,5,Japan,6,2023
40.257,143.7456,10,4.8,Japan,6,2023
41.1421,142.7329,34,5.6,Japan,6,2023
35.6288,140.7607,44.782,4.9,Japan,6,2023
35.7309,140.1945,71.772,4.4,Japan,6,2023
25.0526,122.9114,10,3.7,Japan,6,2023
33.5488,141.1637,40.913,4.4,Japan,6,2023
24.8795,122.55,22.189,4.3,Japan,6,2023
35.6895,140.7296,51.922,4.4,Japan,6,2023
35.6752,140.7184,51.121,4.4,Japan,6,2023
29.1514,130.5682,35,4.2,Japan,6,2023
29.1261,130.4176,27.835,4.6,Japan,6,2023
24.201,122.4809,52.449,4.7,Japan,6,2023
33.8345,135.1922,47.279,4.5,Japan,6,2023
29.2789,132.0213,10,4.3,Japan,6,2023
37.8888,141.6162,71.647,4.4,Japan,6,2023
36.3117,141.7519,33.878,4.5,Japan,6,2023
36.2453,142.0593,27.696,4.5,Japan,6,2023
29.5775,130.4853,35,4.4,Japan,6,2023
38.9061,142.0628,57.553,4.3,Japan,6,2023
38.4328,142.3281,41.107,4.4,Japan,6,2023
25.1816,128.2919,10,5,Japan,6,2023
37.2183,142.2694,35,4.5,Japan,6,2023
35.5685,140.2729,54.624,4.3,Japan,6,2023
35.7132,140.0502,73.864,4.8,Japan,6,2023
41.978,142.5738,61.61,5,Japan,6,2023
25.9991,128.5121,10,4.2,Japan,6,2023
44.1434,141.948,215.628,4.1,Japan,6,2023
30.0056,129.8607,10,4.4,Japan,6,2023
23.9456,122.5759,24.755,4.2,Japan,6,2023
41.4176,142.0786,66.123,4.4,Japan,5,2023
38.9543,141.9101,59.124,4.1,Japan,5,2023
33.4203,139.2833,11.349,4.4,Japan,5,2023
37.4753,141.8637,41.052,4.3,Japan,5,2023
37.5033,137.4734,10,4.6,Japan,5,2023
26.0167,124.8884,184.222,4,Japan,5,2023
35.5444,140.2563,59.473,4.1,Japan,5,2023
35.6786,140.865,35,4.4,Japan,5,2023
29.83,129.5368,127.439,4.2,Japan,5,2023
30.0021,129.912,10,4.8,Japan,5,2023
35.6226,140.8207,44.103,4.4,Japan,5,2023
35.5823,140.7136,30.409,4.6,Japan,5,2023
35.5159,140.606,40.543,4.2,Japan,5,2023
25.7118,126.1657,10,4.4,Japan,5,2023
34.8432,140.8268,50.753,4.3,Japan,5,2023
42.1166,142.517,66.774,4.6,Japan,5,2023
30.6688,129.653,228.204,4.3,Japan,5,2023
37.5775,144.3597,10,4.3,Japan,5,2023
26.1332,124.7522,233.204,4.1,Japan,5,2023
25.5257,123.935,165.426,4.2,Japan,5,2023
42.8308,144.4942,59.49,4.2,Japan,5,2023
34.377,139.1655,6.421,4.9,Japan,5,2023
34.4462,139.3058,10,5.1,Japan,5,2023
37.6894,141.9801,35,4.1,Japan,5,2023
29.8362,129.1107,184,5.5,Japan,5,2023
37.5373,137.3086,10,4.4,Japan,5,2023
40.6649,143.0018,44.45,4.3,Japan,5,2023
39.7844,142.0005,61.292,4.4,Japan,5,2023
34.939,140.1882,81.514,4.6,Japan,5,2023
39.6195,144.4629,10,4.5,Japan,5,2023
33.2888,132.2106,62.252,4.6,Japan,5,2023
25.1156,124.4328,83.188,4.2,Japan,5,2023
33.3263,139.1696,10,4.6,Japan,5,2023
33.3812,139.2314,10,4.3,Japan,5,2023
36.5622,140.7121,75.701,4.2,Japan,5,2023
33.2725,139.2745,16.619,4.6,Japan,5,2023
26.0298,128.5015,10,4.2,Japan,5,2023
27.0676,126.8256,132.13,4.4,Japan,5,2023
33.2608,139.2512,10,4.3,Japan,5,2023
33.3091,139.2826,10,4.8,Japan,5,2023
33.4166,139.3909,10,5,Japan,5,2023
33.2022,139.1515,10,4.1,Japan,5,2023
33.2405,139.2775,14.129,4.8,Japan,5,2023
33.4427,139.3262,13.261,5.6,Japan,5,2023
33.277,139.2717,10,4.2,Japan,5,2023
33.279,139.2738,14.31,4.6,Japan,5,2023
33.3194,139.3353,18.995,4.7,Japan,5,2023
33.3483,139.3133,11.306,4.6,Japan,5,2023
33.3132,139.3665,12.769,5.8,Japan,5,2023
33.3334,139.2949,14.371,4.4,Japan,5,2023
33.3767,139.3714,18.623,5.4,Japan,5,2023
33.3052,139.3771,19.914,4.7,Japan,5,2023
29.9909,129.9763,10,5.2,Japan,5,2023
33.4635,132.3792,55.487,4.3,Japan,5,2023
35.5849,139.2556,136.75,4.1,Japan,5,2023
24.3825,125.1988,27.737,4.7,Japan,5,2023
24.2156,125.2746,21.643,5.8,Japan,5,2023
30.0506,129.8965,10.717,4.4,Japan,5,2023
35.1171,140.0913,39.454,5.2,Japan,5,2023
37.5921,137.2874,10,4.9,Japan,5,2023
35.724,139.9899,70.507,4.4,Japan,5,2023
39.9027,140.4653,154.709,4,Japan,5,2023
37.5372,137.2169,4.863,4.8,Japan,5,2023
39.9598,142.1384,52.506,4.3,Japan,5,2023
39.7436,141.937,62.235,4.2,Japan,5,2023
40.9667,141.9398,62.792,4.3,Japan,5,2023
37.5219,137.39,10,4.4,Japan,5,2023
37.6125,137.537,9.603,4.3,Japan,5,2023
37.5099,137.3075,5.996,4.9,Japan,5,2023
37.1603,140.0409,126.576,4.2,Japan,5,2023
29.5859,129.9756,90.653,4.2,Japan,5,2023
41.422,142.1245,60.463,4.4,Japan,5,2023
41.5095,141.9826,59,5.9,Japan,5,2023
42.9852,146.1184,50.933,4.5,Japan,5,2023
37.5102,137.2187,9.873,4.4,Japan,5,2023
37.4872,137.2752,10,5.6,Japan,5,2023
39.42,141.9781,62.467,4.6,Japan,5,2023
37.4752,137.3978,10,4.6,Japan,5,2023
37.5062,137.2324,10,4.8,Japan,5,2023
25.9161,128.5195,10,4.3,Japan,5,2023
42.1297,140.8805,125.005,4.2,Japan,5,2023
36.7108,142.2723,31.844,4.1,Japan,5,2023
41.6883,144.335,32.986,4.5,Japan,5,2023
36.5894,141.1332,45.267,4.4,Japan,5,2023
44.7588,141.3335,258.978,4.1,Japan,5,2023
37.8196,141.9374,55.111,4.2,Japan,5,2023
26.0156,128.6084,10,4.7,Japan,5,2023
37.849,141.9376,43.177,4.3,Japan,5,2023
25.9389,128.5511,10,5.3,Japan,5,2023
26.012,128.5116,14.769,5,Japan,5,2023
25.9261,128.5263,13.621,4.5,Japan,5,2023
26.0335,128.7003,10,4.9,Japan,5,2023
26.0161,128.4753,9,5.9,Japan,5,2023
25.997,128.4743,10,4.4,Japan,5,2023
25.976,128.5766,10,4.6,Japan,5,2023
26.0121,128.6108,10,4.5,Japan,5,2023
26.0019,128.5201,20.024,5.3,Japan,5,2023
26.0202,128.5306,16.2,5.1,Japan,5,2023
42.0642,142.471,68.408,4.5,Japan,4,2023
36.2566,141.1086,39.39,4.4,Japan,4,2023
29.3809,130.3405,35,4.4,Japan,4,2023
36.4188,140.6219,70.585,4.4,Japan,4,2023
35.4696,141.2927,35.744,4.3,Japan,4,2023
26.0572,128.5132,10,4.9,Japan,4,2023
26.0359,128.3524,10,4.4,Japan,4,2023
25.9914,128.5948,10,4.4,Japan,4,2023
25.9983,128.4928,10,4.6,Japan,4,2023
26.0136,128.5728,10,4.7,Japan,4,2023
33.6853,140.5739,60.202,4.4,Japan,4,2023
25.973,128.5989,13.602,4.4,Japan,4,2023
26.3864,128.1259,29.339,4.5,Japan,4,2023
26.025,128.5922,10,4.4,Japan,4,2023
37.0818,141.1233,62.8,4.4,Japan,4,2023
26.0704,128.5333,13.067,4.4,Japan,4,2023
25.9913,128.5497,10,4.9,Japan,4,2023
26.0902,128.5561,10,5.3,Japan,4,2023
25.9338,128.5939,10,4.6,Japan,4,2023
41.572,141.9177,67.808,4.2,Japan,4,2023
26.5494,128.9741,18.358,4.4,Japan,4,2023
42.0682,142.5007,71.167,4.2,Japan,4,2023
30.5894,132.4054,14.871,4.3,Japan,4,2023
37.6894,141.8026,51.46,4,Japan,4,2023
40.0764,141.8156,57.995,4.4,Japan,4,2023
30.5878,132.4042,14.194,4.3,Japan,4,2023
37.3471,141.2384,48.89,4.4,Japan,4,2023
30.6207,132.4116,13.425,4.8,Japan,4,2023
30.6317,132.3989,10,4.8,Japan,4,2023
30.5012,132.3846,10,4.3,Japan,4,2023
30.6799,132.3499,10,4.6,Japan,4,2023
23.7918,123.4457,39.175,4.5,Japan,4,2023
24.9834,123.4561,112.681,4.5,Japan,4,2023
30.602,132.3651,10,4,Japan,4,2023
